,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2206,0.8,0.8,0.8,0.8,28.7,31.6,26.5,7,42.5,1
2207,0,0,0,0,29.2,32.9,26.8,7.8,29.5,0
2208,0,0,0,0,29.3,32.8,26.8,6.7,28.4,0
2209,0,0,0,0,29.4,32.4,27.2,6,32.8,0
2210,16.8,10.6,16.4,16.8,28.2,31.4,24.9,6.9,29.2,1
2211,0,0,0,0,28.9,32.4,26.6,6.4,33.5,0
2212,0,0,0,0,29,32.6,27.2,10,33.1,0
2213,0,0,0,0,28.9,31.6,27.4,7.7,27.7,0
2214,1,0.6,0.8,1,27.7,31.2,25.7,6.4,36.7,1
2215,0,0,0,0,28.3,32.2,25.9,6.4,26.6,0
2216,0,0,0,0,28.6,32.6,25.4,9.6,29.9,0
2217,0,0,0,0,29,32.8,26.2,10.2,32.8,0
2218,0,0,0,0,29.7,33.4,27.8,10.1,32.8,0
2219,0,0,0,0,29.4,32.6,27.1,7.9,32.4,0
2220,0,0,0,0,29.3,32.9,27.2,10,37.8,0
2221,0,0,0,0,29.3,33,26.8,7,28.4,0
2222,0,0,0,0,29.2,33.2,26.9,8.9,32.4,0
2223,2.4,2.4,2.4,2.4,28.9,32.3,27.3,10.1,37.1,1
2224,5,5,5,5,28.3,31.5,25.9,6.6,38.9,1
2225,0,0,0,0,28.9,33.9,25.3,5.8,26.3,0
2226,0,0,0,0,29.4,33,26.8,6.1,25.6,0
2227,0,0,0,0,29,32.6,26.2,6.2,24.8,0
2228,0,0,0,0,28.9,32.3,26.8,6.7,29.5,0
2229,41,28.6,36.6,40.8,26.2,30,22.8,6.2,52.6,1
2230,0,0,0,0,27.3,30.6,24,5.2,24.8,0
2231,0,0,0,0,28.8,33.1,25.2,7.4,27.4,0
2232,0,0,0,0,28.8,32,26.6,6.5,28.1,0
2233,0,0,0,0,29.2,32.8,26.9,5.8,21.6,0
2234,0,0,0,0,28.7,31.6,27.2,6.5,24.8,0
2235,5.6,3.2,3.6,3.8,26.4,29.5,24.4,5.7,45,1
2236,4.8,4.2,4.4,4.8,27.1,30.3,24.7,6.1,34.6,1
2237,0,0,0,0,28.8,32.1,26.7,5.8,26.6,0
2238,0,0,0,0,28.9,32,27.3,11.5,29.9,0
2239,0,0,0,0,28.9,32.5,27.1,11.9,35.6,0
2240,13,11,13,13,28.6,33.3,26.2,6.6,29.9,1
2241,72.2,29,49.2,71.6,27.9,33,23.1,5.6,40,1
2242,0,0,0,0,28.2,32.3,25,6.5,31,0
2243,0,0,0,0,28.3,30.9,26.3,7.8,29.2,0
2244,0,0,0,0,28.3,32.2,25.7,6,25.2,0
2245,0,0,0,0,28.9,32.5,26.4,5.7,25.6,0
2246,0,0,0,0,29,33.4,25.5,7,27.4,0
2247,0,0,0,0,29.2,33.3,26.3,5.2,22.7,0
2248,3.6,1.4,2,3,27.6,30.7,24.3,6.1,36,1
2249,0,0,0,0,28.2,31.7,24.9,5.7,26.3,0
2250,9.8,9.2,9.6,9.6,27.8,32.3,24,6.5,42.1,1
2251,0,0,0,0,28.3,33,25.5,6.3,29.5,0
2252,14.2,8.6,9.6,10.2,27.3,32.3,23.7,7.1,37.1,1
2253,0,0,0,0,28.4,31.7,25.5,5.6,21.6,0
2254,0,0,0,0,29,32.3,26.6,6.6,29.2,0
2255,0,0,0,0,28,31.3,26.2,5.3,32,0
2256,0,0,0,0,27.7,32.5,25.6,6.7,23.8,0
2257,13.4,13,13,13,27.6,32.3,24.9,5.7,34.6,1
2258,0.2,0.2,0.2,0.2,27.7,33.5,25.3,5.2,31.3,1
2259,0,0,0,0,29,33.8,24.8,5.4,22.3,0
2260,0,0,0,0,29.3,33.6,25.7,5.5,24.1,0
2261,0,0,0,0,29.7,33.9,27,8.4,24.5,0
2262,0,0,0,0,29.4,34.2,26.9,6.9,31,0
2263,0,0,0,0,28.9,34,25.8,7.8,38.5,0
2264,0,0,0,0,28.7,33.1,26.5,7.4,36.4,0
2265,0,0,0,0,29.2,33.7,25.9,7.1,23.8,0
2266,0,0,0,0,29.1,33.2,25.9,7.1,23.4,0
2267,0,0,0,0,29.5,33.6,26.6,6.4,24.5,0
